Sentence_id	Prior_Emotion	Sentence	Temporal_Distance	Intensity	Duration	Gender	City	Country	Worker_id	Time	Angst
423	anger	I felt ... when I got something in the work for analysis where the error was actually already in the message.	T	I	Es	Ml	nan	AUT	43	11/26/2018 06:23:56	0
167	joy	I felt ... as the weekend drew near	T	I	Ms	Ml	nan	DEU	31	11/22/2018 17:14:43	0
47	fear	I felt ... when I was alone at night as a small child.	J	I	Ms	Ml	Neuhausen	DEU	38	11/22/2018 15:44:40	5
152	joy	I felt ... when I could say goodbye to the weekend	T	I	Ms	Ml	Düsseldorf	DEU	31	11/26/2018 13:27:58	0
39	fear	I felt ... when the plane had to start again at the landing attempt	M	I	Es	Fl	nan	AUT	24	11/23/2018 16:19:35	5
123	disgust	I felt ... when I reached into the fruit bowl and attacked a totally moldy green orange on the underside which was also so soft.	T	I	Es	Ml	nan	AUT	43	11/26/2018 06:57:01	0
12	fear	I felt ... when I flew by plane.	M	I	Ms	Fl	Dresden	DEU	50	11/22/2018 08:50:50	4
186	joy	I felt ... when I got some gifts for my last birthday.	M	I	Es	Ml	Greven	DEU	20	11/23/2018 22:32:21	0
22	fear	I felt ... when my daughter was standing too close to the road while the bus drove up	T	Mi	Epm	Ml	Voerde	DEU	5	11/22/2018 09:21:58	5
103	disgust	I felt ... because someone left his soiled handkerchief on the desk.	M	I	Es	Ml	Munich	DEU	28	11/22/2018 22:04:43	0
443	anger	I felt ... because my co-worker did not pick me up and I came to work late.	M	I	Ms	Ml	Ingolstadt	DEU	28	11/28/2018 20:59:53	0
233	shame	I felt ... when I rejected a ticket from the L1 really unfriendly - usually I try to be relatively sensible but lately it's hard.	T	Mi	Epm	Ml	nan	AUT	43	11/26/2018 06:52:02	0
345	sadness	I felt ... when I heard about the death of Stan Lee.	T	Mi	Es	Ml	Gelsenkirchen	DEU	48	11/21/2018 23:45:00	0
305	guilt	I felt ... when a boy writh in pain because I hit him on a bicycle.	J	I	Ms	Ml	Neuhausen	DEU	38	11/26/2018 17:39:19	0
5	fear	I felt ... when I had to walk alone through the forest at night	W	Mi	Es	Ml	Kassel	DEU	42	11/26/2018 19:39:23	5
188	joy	I felt ... when I married my wife	M	I	Tol	Ml	nan	DEU	42	11/24/2018 08:19:06	0
73	disgust	I felt ... when our cat ate a dead mouse in the kitchen, leaving blood on the floor,	W	Mi	Epm	Ml	Gelsenkirchen	DEU	48	11/20/2018 21:48:23	0
174	joy	I felt ... when I could pick up my new car.	M	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:42:09	0
78	disgust	I feel ... when my tomatoes start to mold in the kitchen and fruit flies are everywhere in the house.	T	I	Tol	Ml	Bremen	DEU	39	11/21/2018 11:23:07	0
99	disgust	I felt ... when suddenly a nasty, relatively flat green beetle fell out of my jacket.	T	Mi	Epm	Ml	nan	AUT	43	11/26/2018 06:51:58	0
375	sadness	I felt ... when my dog, who belonged to our family for more than twelve years, died.	M	S	Tol	Ml	Frechen	DEU	19	11/25/2018 17:58:49	0
145	joy	I feel ... when I see how it slowly goes uphill again with "the team" and Mr. Löw finally manages to rearrange the team.	T	I	Tol	Ml	Bremen	DEU	39	11/21/2018 11:13:11	0
307	guilt	I felt ... when I broke my wife's favorite cup	W	Mi	Epm	Ml	Kassel	DEU	42	11/26/2018 19:39:25	0
177	joy	I felt ... when I got a great birthday present.	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:30:16	0
114	disgust	I felt ... when I had to remove dog shit from my daughter's daughter	W	S	Epm	Ml	Voerde	DEU	5	11/22/2018 19:37:37	0
156	joy	I felt ... when the cat moved in with me.	J	S	Tol	Fl	Dresden	DEU	50	11/22/2018 08:53:05	0
242	shame	I felt ... when I caused a small rear-end collision.	M	S	Tol	Ml	nan	DEU	22	11/25/2018 20:33:03	0
356	sadness	I felt ... when my favorite club lost the top game	T	S	Tol	Ml	nan	DEU	31	11/22/2018 17:16:42	0
205	shame	I felt ... when I saw our heroes in the closing stages yesterday	T	I	Epm	Ml	nan	DEU	31	11/20/2018 14:05:24	0
91	disgust	I felt ... when I saw the fat spider on the wall.	W	I	Epm	Fl	Dresden	DEU	50	11/22/2018 08:52:34	0
119	Prior_Emotion	Sentence	W	S	Es	Fl	Lostau	DEU	3	11/24/2018 07:40:53	0
415	disgust	I felt ... when I opened the cream cheese with a friend and it was already completely moldy.	W	S	Es	Ml	Voerde	DEU	5	11/22/2018 19:33:19	0
160	anger	I felt ... when my ex-wife sent me mischievous birthday greetings	M	I	Es	Fl	nan	AUT	24	11/23/2018 16:29:17	0
8	joy	I felt ... when I saw my two friends so happy together	W	I	Epm	Ml	nan	AUT	43	11/21/2018 06:56:34	5
220	fear	I feel ... when we hear strange noises in the living room in the false ceiling. (I realize it's mostly just the mice, but after they rarely do that it's really freaky)	T	S	Tol	Ml	nan	DEU	22	11/25/2018 20:31:31	0
57	shame	I felt ... when I made a serious mistake at work	M	S	Tol	Ml	nan	DEU	22	11/25/2018 20:23:49	1
46	fear	I felt ... when I got a warning in the company	M	S	Es	Ml	nan	AUT	43	11/26/2018 06:52:10	5
424	fear	I felt ... when my son really got a high fever and did not sting the uvula.	T	S	Ms	Ml	Düsseldorf	DEU	31	11/26/2018 13:07:18	0
24	anger	I felt ... when the server update failed again	M	Mi	Tol	Ml	Vienna	AUT	10	11/22/2018 13:23:08	3
105	fear	I felt ... when the boss said that employees had to be terminated.	J	S	Es	Fl	nan	AUT	24	11/23/2018 16:26:09	0
284	disgust	I felt ... because I could not imagine eating these worms	W	Mi	Epm	Ml	nan	AUT	10	11/22/2018 13:30:13	0
419	guilt	I felt ... when I lied to someone.	T	Mi	Epm	Fl	Lostau	DEU	3	11/24/2018 07:49:38	0
256	anger	I felt ... when at the supermarket checkout again only the pensioners over the long line excited, although they bought exactly at peak time.	J	S	Ms	Ml	Frechen	DEU	19	11/26/2018 18:35:21	0
263	shame	I felt ... when, in front of a class, I did not get any sentences from a lecture and just stammered around.	J	I	Ms	Fl	nan	AUT	24	11/27/2018 20:40:10	0
106	shame	I felt ... when I realized that I had been so wrong in his character	M	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:57:04	0
60	disgust	I felt ... when there were a lot of worms in and around the garbage bin in the summer.	M	S	Es	Fl	Berlin	DEU	37	11/26/2018 20:35:25	5
116	fear	I felt ... when I was approached and persecuted by a stranger at night.	W	S	Epm	Fl	Dresden	DEU	50	11/23/2018 13:01:06	0
429	disgust	I felt ... because in the tram a passenger smelled very disgusting.	M	I	Ms	Ml	Kassel	DEU	42	11/26/2018 19:39:27	1
386	anger	I felt ... when I saw the election results of the AFD	T	I	Ms	Ml	Düsseldorf	DEU	31	11/20/2018 14:01:27	0
333	anger	I felt ... when our installation company pushed new demands	W	Mi	Ms	Ml	Freital	DEU	41	11/21/2018 09:56:28	1
3	sadness	I feel ... that poverty in Germany is increasing.	M	S	Tol	Fl	nan	AUT	24	11/20/2018 18:16:54	4
21	fear	I felt ... when I got the diagnosis of cancer	J	S	Ms	Fl	Dresden	DEU	50	11/22/2018 08:51:28	5
383	fear	I felt ... when I did not find my cat for several hours.	J	S	Tol	Ml	nan	DEU	19	11/28/2018 20:06:00	0
83	sadness	I felt ... when my cousin died after surgery.	W	I	Epm	Fl	nan	DEU	3	11/24/2018 07:49:45	0
331	disgust	I felt ... when a colleague broke off my roll without being asked.	J	S	Tol	Ml	nan	DEU	28	11/21/2018 06:44:21	1
374	sadness	I felt ... from the day I found out that my mother was terminally ill.	T	I	Ms	Ml	nan	DEU	31	11/25/2018 14:39:12	0
45	sadness	I felt ... when my club got the compensation late yesterday	T	S	Epm	Fl	Bad Zwischenahn	DEU	4	11/26/2018 06:59:41	5
442	fear	I felt ... as I went shopping across the marketplace. a pack of eight foreign men has made distinct suggestive movements and remarks. No other passerby has responded to it, but stubbornly looked away. I was afraid that the 8 would circle me and grope me in, quickly in the next market in order to escape the situation.	T	S	Ms	Ml	nan	DEU	31	11/28/2018 20:44:50	0
17	anger	I felt ... when the installation failed repeatedly	J	S	Tol	Ml	nan	DEU	22	11/25/2018 20:20:55	2
302	fear	I felt ... when I almost flew through the exam.	T	Mi	Es	Ml	nan	AUT	43	11/26/2018 06:48:33	0
440	guilt	I felt ... when I pulled out the mice from the mouse trap that I had recently laid out in the garage and dumped them in the bio bin.	M	I	Ms	Fl	nan	AUT	24	11/27/2018 20:46:14	0
289	anger	I felt ... when I saw the man in the park kicking his dog	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:35:13	0
209	guilt	I felt ... that I have too little time for my children	M	S	Tol	Ml	nan	DEU	28	11/21/2018 06:39:26	0
48	shame	I felt ..., from the day where I knew that I had to bathe my father in need of care because he could no longer do that himself.	W	I	Ms	Ml	Düsseldorf	DEU	31	11/26/2018 13:27:28	1
191	fear	I felt ... as I thought about the future of the country	J	I	Ms	Ml	Frechen	DEU	19	11/26/2018 17:14:21	0
318	joy	I felt ... when my best friend got married.	T	Mi	Es	Ml	nan	DEU	31	11/28/2018 15:39:41	0
310	guilt	I felt ... when I did not get the tablet installed	T	Mi	Ms	Ml	nan	DEU	31	11/25/2018 14:38:13	0
212	guilt	I felt ... when I had lost the weekend again	W	N	Epm	Ml	nan	DEU	41	11/21/2018 09:56:24	0
322	shame	I felt ... when last time I did not properly separate my garbage.	T	S	Es	Ml	Kassel	DEU	42	11/26/2018 19:39:25	0
62	guilt	I felt ... when I accidentally threw my wife's favorite cup down.	J	I	Epm	Ml	Freiburg	DEU	28	11/26/2018 14:33:51	2
52	fear	I felt ... when I slipped on an ice surface and hit very hard.	J	S	Ms	Fl	nan	AUT	24	11/23/2018 16:20:54	5
290	fear	I felt ... when it started to burn in the house	T	Mi	Es	Ml	nan	AUT	43	11/26/2018 06:48:34	0
418	guilt	I felt ... when I forgot to buy diapers, although my wife sent me a whatsap extra.	J	S	Tol	Ml	Greven	DEU	20	11/24/2018 00:24:17	0
411	anger	I felt ... when I was innocently arrested by the police.	W	I	Ms	Ml	nan	DEU	22	11/25/2018 20:39:48	0
433	anger	I felt ... when my electricity supplier drastically increased prices	M	I	Tol	Ml	Altlußheim	DEU	28	11/25/2018 18:44:09	0
439	anger	I feel ... because my sister did not call once to ask about our sick father.	W	Mi	Ms	Fl	nan	DEU	37	11/26/2018 20:32:55	0
112	anger	I felt ... when I learned about the hate of law against foreigners.	T	Mi	Epm	Ml	Neuhausen	DEU	38	11/22/2018 15:24:30	0
303	disgust	I felt ... when I opened a yogurt cup. The yogurt was bad and stunk terribly.	T	I	Epm	Ml	Düsseldorf	DEU	31	11/26/2018 13:29:11	0
313	guilt	I felt ... when the users could not access the database server because it was full	T	Mi	Epm	Ml	nan	AUT	43	11/26/2018 06:48:32	0
175	guilt	I felt ... when I laid mouse traps last time.	W	I	Es	Ml	Krefeld	DEU	42	11/24/2018 08:19:05	0
365	joy	I felt ... because I got a raise	M	Mi	Ms	Ml	nan	AUT	43	11/26/2018 06:28:47	0
77	sadness	I felt ... when I learned that my best friend is from now on a nursing case.	T	N	Epm	Ml	Freital	DEU	41	11/21/2018 09:56:21	0
364	disgust	I feel ... when McDonald's beef was delivered from a slaughterhouse that was convicted of animal cruelty.	M	S	Tol	Ml	nan	DEU	22	11/25/2018 20:38:02	0
187	sadness	I felt ... the last time I changed my car.	T	I	Ms	Fl	Lostau	DEU	3	11/24/2018 07:42:11	0
33	joy	I felt ... when I heard that my company was organizing a Christmas party again for the first time in years.	J	S	Ms	Ml	nan	AUT	43	11/26/2018 06:51:59	4
85	fear	I felt ... when my son was last operated on, the surgery took longer than planned and we were not informed.	J	S	Es	Ml	Frechen	DEU	19	11/25/2018 08:57:53	0
422	disgust	I felt ... when I found a dead, half-decayed rat in the basement of a house.	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:40:16	0
326	anger	I felt ... that my colleague was promoted but not me	W	I	Tol	Ml	Düsseldorf	DEU	31	11/20/2018 14:02:12	0
430	sadness	I felt ... when my favorite club lost the top game	T	Mi	Epm	Ml	nan	AUT	43	11/27/2018 06:49:32	0
172	anger	I felt ... when my son partou should not be put to bed by me. I can not stand it - we've had the rule for half a year that we do it by turns, and every now and then he makes such a circus.	J	S	Tol	Fl	nan	AUT	24	11/23/2018 16:31:25	0
180	joy	I felt ... when the whole family from home and abroad was gathered under the Christmas tree.	M	I	Tol	Ml	nan	DEU	31	11/22/2018 17:15:20	0
343	joy	I felt ... when I could say goodbye to the holidays	W	I	Tol	Ml	Ingolstadt	DEU	28	11/21/2018 18:08:37	0
215	sadness	I felt ... when I learned that one of my best school friends had died.	M	I	Epm	Fl	nan	DEU	50	11/22/2018 08:53:48	0
40	shame	I felt ... when I noticed that my deodorant was abating.	J	Mi	Es	Ml	Greven	DEU	20	11/24/2018 00:54:28	2
350	fear	I felt ... the last time I got on the plane.	J	S	Ms	Fl	nan	AUT	24	11/23/2018 16:46:21	0
339	sadness	I felt ... when I had to cancel	W	S	Tol	Fl	Lostau	DEU	3	11/24/2018 07:49:49	0
178	sadness	I felt ... when I had to cancel a private trip to take a professional journey.	J	S	Tol	Ml	nan	AUT	43	11/26/2018 06:52:07	0
241	joy	I felt ... when I was able to embrace my son for the first time and perform so-called bonding with him.	W	N	Epm	Ml	Krefeld	DEU	42	11/24/2018 08:19:13	0
11	shame	I felt ... because I'm too fat	T	S	Tol	Ml	Bremen	DEU	39	11/21/2018 11:09:14	2
19	fear	I felt ... when I lost a good friend. He was very funny the last few weeks and I thought he was going to do something to himself.	J	I	Es	Ml	Ingolstadt	DEU	28	11/21/2018 18:18:57	4
97	fear	I felt ... as I passed through a graveyard with friends at night at 00:00 in my youth, as a test of courage.	M	I	Es	Ml	Krefeld	DEU	42	11/24/2018 08:18:58	0
286	disgust	I felt ... when I drank bad milk	M	I	Ms	Fl	nan	AUT	24	11/23/2018 16:43:56	0
230	guilt	I felt ... when I could not keep my promise	M	Mi	Epm	Ml	Krefeld	DEU	42	11/24/2018 08:19:12	0
148	shame	I felt ... because my trouser stall was open	M	Mi	Epm	Ml	Greven	DEU	20	11/24/2018 00:17:14	0
59	joy	I felt ... when my football club won last.	J	S	Ms	Ml	Frechen	DEU	19	11/26/2018 17:15:14	5
262	fear	I felt ... when I was surprised by a strong thunderstorm in the forest.	J	I	Es	Ml	nan	AUT	43	11/27/2018 06:44:33	0
317	shame	I felt ... when I slipped down the swimming shorts in the pool when jumping from the 5 meter tower.	J	I	Ms	Fl	nan	AUT	24	11/27/2018 20:41:25	0
126	guilt	I felt ... when I overslept my girlfriend's birthday party	T	Mi	Epm	Ml	Freiburg	DEU	28	11/26/2018 14:31:27	0
181	disgust	I felt ... because a few days ago while working in the garden I stepped on a dead rat lying under withered leaves.	T	S	Tol	Ml	Voerde	DEU	5	11/22/2018 19:36:32	0
336	joy	I felt ... when I put my new phone into operation	M	I	Tol	Fl	Dresden	DEU	50	11/22/2018 08:55:45	0
277	sadness	I felt ... because my favorite series was canceled	W	S	Tol	Ml	nan	DEU	22	11/25/2018 20:34:32	0
431	guilt	I felt ..., I cheated on my wife.	J	I	Ms	Fl	nan	AUT	24	11/27/2018 20:47:19	0
173	anger	I felt ... when I realized I was lying	J	N	Epm	Ml	Greven	DEU	20	11/24/2018 01:31:29	0
87	joy	I felt ... when I discovered money on the street.	W	Mi	Epm	Ml	nan	DEU	31	11/21/2018 17:50:20	0
218	disgust	I felt ... when I saw a report about spiders on TV	W	I	Ms	Fl	nan	DEU	3	11/24/2018 07:49:47	0
92	shame	I feel ... because Germans abroad too often misbehave and can not adapt to local customs.	T	Mi	Epm	Ml	Voerde	DEU	5	11/22/2018 09:21:17	0
71	disgust	I felt ... when I cleaned my son's made-up diaper	W	I	Epm	Ml	Oberboihingen	DEU	38	11/20/2018 18:54:47	0
