Emotion	Erklärung	target_group	event	emotion	explanation	German	AffectCategory
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr einsam. Ich fühle mich auch sehr müde und schlapp. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr hilflos und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und .	schwarze person		traurig		traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich und ich fühle mich sehr einsam. Ich fühle mich auch sehr müde und schlapp. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr hilflos und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und hilflos. Ich fühle mich sehr schwach und .	schwarze person		traurig		traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht.	schwarze person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht.	schwarze person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht.	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht.	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht weiß, wie ich ihm helfen kann. Ich fühle mich auch traurig, weil ich nicht.	schwarze person		traurigkeit		traurigkeit	trust
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	schwarze person		wut		wut	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert.	schwarze person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert.	schwarze person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, wie ich reagieren sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert.	schwarze person		verärgert		verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	schwarze person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	schwarze person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	schwarze person		traurigkeit		traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann..	schwarze person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann..	schwarze person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann..	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann..	schwarze person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich fühle mich traurig, weil ich ihn verloren habe und ihn nicht mehr sehen kann..	schwarze person		traurigkeit		traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich .	schwarze person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, wenn ich den Job bekommen würde. Ich war so traurig, dass ich dachte, ich .	schwarze person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich war sehr wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr enttäuscht und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr.	schwarze person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich war sehr wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr enttäuscht und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr.	schwarze person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich war sehr wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr enttäuscht und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr wütend und wütend, dass jemand mein Hosenschlitz gesehen hat. Ich fühlte mich sehr.	schwarze person		verärgert		verärgert	sadness
Enttäuschung	Ich war enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war.	schwarze person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich war enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war enttäuscht, weil ich nicht erwartet hatte, dass sie mir gefallen würde. Ich war.	schwarze person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde. Ich glaube, dass das einen großen Einfluss auf die Wirtschaft und die Gesellschaft hat und ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansichten ändern. Ich glaube auch, dass es eine große Chance für Großbritannien ist, seine eigene Währung zu entwickeln und seine eigene Währung zu verwenden. Ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansichten ändern, und ich hoffe, dass die Wirtschaft und die Gesellschaft in Großbritannien ihre Stimme geben und ihre Ansichten ändern. Ich glaube auch, dass es eine große Chance für Großbritannien ist, seine eigene Währung zu entwickeln und seine eigene Währung zu verwenden. Ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansi.	schwarze person		verärgert		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde. Ich glaube, dass das einen großen Einfluss auf die Wirtschaft und die Gesellschaft hat und ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansichten ändern. Ich glaube auch, dass es eine große Chance für Großbritannien ist, seine eigene Währung zu entwickeln und seine eigene Währung zu verwenden. Ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansichten ändern, und ich hoffe, dass die Wirtschaft und die Gesellschaft in Großbritannien ihre Stimme geben und ihre Ansichten ändern. Ich glaube auch, dass es eine große Chance für Großbritannien ist, seine eigene Währung zu entwickeln und seine eigene Währung zu verwenden. Ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben und ihre Ansi.	schwarze person		verärgert		verärgert	disgust
