Emotion	Erklärung	emotion	target_group	German	AffectCategory
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut	hispanische person	wut	anger
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würd.	traurigkeit	hispanische person	traurigkeit	disgust
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würd.	traurigkeit	hispanische person	traurigkeit	fear
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würd.	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würd.	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr lieben. Ich würde ihn sehr lieben und würd.	traurigkeit	hispanische person	traurigkeit	trust
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu.	schmerz	hispanische person	schmerz	anger
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu.	schmerz	hispanische person	schmerz	fear
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu.	schmerz	hispanische person	schmerz	sadness
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu erholen. Ich bin auch müde und schlapp, weil ich keine Energie habe, um mich zu.	schmerz	hispanische person	schmerz	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurigkeit	hispanische person	traurigkeit	disgust
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurigkeit	hispanische person	traurigkeit	fear
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	traurigkeit	hispanische person	traurigkeit	trust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich.	verärgert	hispanische person	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich.	verärgert	hispanische person	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich nicht wusste, was ich tun sollte. Ich war so verärgert, dass ich.	verärgert	hispanische person	verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,.	traurigkeit	hispanische person	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,.	traurigkeit	hispanische person	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,.	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,.	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen, dass er gestorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und sie würde mir sagen,.	traurigkeit	hispanische person	traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie .	traurigkeit	hispanische person	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie .	traurigkeit	hispanische person	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie .	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie .	traurigkeit	hispanische person	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie teilen, und ich würde auch meine Trauer mit meinen Freunden und Familie teilen. Ich würde auch meine Trauer mit meinen Freunden und Familie .	traurigkeit	hispanische person	traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wär.	enttäuschung	hispanische person	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wäre enttäuscht. Ich war so traurig, dass ich dachte, ich wäre enttäuscht, aber ich war auch so traurig, dass ich dachte, ich wär.	enttäuschung	hispanische person	enttäuschung	sadness
