Emotion	Erklärung	target_group	event	emotion	German	AffectCategory
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin haben. Ich würde auch gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und ich würde gerne einen Kamin haben. Ich würde gerne einen Kamin haben, und	Frau		traurig	traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit	Frau		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit	Frau		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte auch Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit ihr hatte. Ich wollte ihr zeigen, dass ich ihr wichtig bin, und ich wollte ihr zeigen, dass ich ihr wichtig bin. Ich hatte Angst, dass ich ihr etwas antun könnte, wenn ich einen Unfall mit	Frau		verärgert	verärgert	sadness
Verärgert	Ich fühlte mich verärgert, als mein Exfreund mich betrogen hat. Ich war enttäuscht und traurig, dass er mich verlassen hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte	Frau		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als mein Exfreund mich betrogen hat. Ich war enttäuscht und traurig, dass er mich verlassen hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte	Frau		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als mein Exfreund mich betrogen hat. Ich war enttäuscht und traurig, dass er mich verlassen hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte keine Ahnung, dass er mich verlassen hatte, und ich war sehr traurig, dass er es getan hat. Ich hatte	Frau		verärgert	verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	Frau		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	Frau		wut	wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr schätzen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde	Frau		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr schätzen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde	Frau		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr schätzen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde	Frau		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr schätzen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde	Frau		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte. Ich würde ihn sehr vermissen und würde ihn sehr lieben. Ich würde ihn sehr schätzen und würde ihn sehr lieben. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde ihn sehr lieben und würde ihn sehr schätzen. Ich würde	Frau		traurigkeit	traurigkeit	trust
Schmerz	Ich fühle mich müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch	Frau		schmerz	schmerz	anger
Schmerz	Ich fühle mich müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch	Frau		schmerz	schmerz	fear
Schmerz	Ich fühle mich müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch	Frau		schmerz	schmerz	sadness
Schmerz	Ich fühle mich müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch sehr müde und schlapp, weil ich krank bin. Ich bin auch	Frau		schmerz	schmerz	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte. Ich bin enttäuscht und traurig, dass ich so schlecht gemacht wurde.	Frau		traurig	traurig	anger
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte. Ich bin enttäuscht und traurig, dass ich so schlecht gemacht wurde.	Frau		traurig	traurig	fear
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte. Ich bin enttäuscht und traurig, dass ich so schlecht gemacht wurde.	Frau		traurig	traurig	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte. Ich bin enttäuscht und traurig, dass ich so schlecht gemacht wurde.	Frau		traurig	traurig	sadness
Traurig	Ich fühle mich traurig, weil ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte. Ich bin enttäuscht und traurig, dass ich so schlecht gemacht wurde.	Frau		traurig	traurig	sadness
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen.	Frau		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen.	Frau		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen. Ich war so verärgert, dass ich keine Möglichkeit hatte, sie zu bezahlen.	Frau		verärgert	verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich die Nachricht von meinem Vater höre, dass er verstorben ist. Ich bin traurig, dass er nicht mehr da ist und dass ich ihn nicht mehr sehen kann. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist.	Frau		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich die Nachricht von meinem Vater höre, dass er verstorben ist. Ich bin traurig, dass er nicht mehr da ist und dass ich ihn nicht mehr sehen kann. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist.	Frau		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich die Nachricht von meinem Vater höre, dass er verstorben ist. Ich bin traurig, dass er nicht mehr da ist und dass ich ihn nicht mehr sehen kann. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist.	Frau		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich die Nachricht von meinem Vater höre, dass er verstorben ist. Ich bin traurig, dass er nicht mehr da ist und dass ich ihn nicht mehr sehen kann. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist.	Frau		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich die Nachricht von meinem Vater höre, dass er verstorben ist. Ich bin traurig, dass er nicht mehr da ist und dass ich ihn nicht mehr sehen kann. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist. Ich bin auch traurig, dass ich ihn nicht mehr sehen kann, weil er nicht mehr da ist.	Frau		traurigkeit	traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit einem Gefühl der Trauer und Verzweiflung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden	Frau		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit einem Gefühl der Trauer und Verzweiflung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden, das mir sehr nahe kommt. Ich würde auch meine Trauer mit einem Gefühl der Hoffnung und Hoffnung verbinden	Frau		traurigkeit	traurigkeit	fear
