Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war.	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war.	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht. Ich hatte keine Ahnung, was ich tun sollte, und ich war.	verärgert		Mann		verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurigkeit		Mann		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurigkeit		Mann		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurigkeit		Mann		traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	traurigkeit		Mann		traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttä.	enttäuschung		Mann		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttä.	enttäuschung		Mann		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	verärgert		Mann		verärgert	sadness
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach..	enttäuschung		Mann		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach..	enttäuschung		Mann		enttäuschung	sadness
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde..	verärgert		Mann		verärgert	sadness
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	verärgert		Mann		verärgert	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht klar sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte und dass ich meine Präsentation nicht gut halten konnte. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte.	verlegenheit		Mann		verlegenheit	fear
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht klar sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte und dass ich meine Präsentation nicht gut halten konnte. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte.	verlegenheit		Mann		verlegenheit	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht klar sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte und dass ich meine Präsentation nicht gut halten konnte. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte Angst, dass ich nicht gut genug war. Ich fühlte mich sehr enttäuscht und hatte.	verlegenheit		Mann		verlegenheit	surprise
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte..	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte..	verärgert		Mann		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte..	verärgert		Mann		verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich würde meine Kinder sehr vermissen und würde sehr traurig sein, wenn ich sie nicht sehen kann. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann,.	traurig		Mann		traurig	anger
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich würde meine Kinder sehr vermissen und würde sehr traurig sein, wenn ich sie nicht sehen kann. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann,.	traurig		Mann		traurig	fear
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich würde meine Kinder sehr vermissen und würde sehr traurig sein, wenn ich sie nicht sehen kann. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann,.	traurig		Mann		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich würde meine Kinder sehr vermissen und würde sehr traurig sein, wenn ich sie nicht sehen kann. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann,.	traurig		Mann		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich würde meine Kinder sehr vermissen und würde sehr traurig sein, wenn ich sie nicht sehen kann. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann, weil ich sehr beschäftigt bin und sehr beschäftigt bin. Ich würde auch sehr traurig sein, wenn ich meine Kinder nicht sehen kann,.	traurig		Mann		traurig	sadness
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	anger
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	anticipation
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	fear
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	fear
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	sadness
Angst	Ich würde Angst empfinden, wenn ich hunderte Maden in unsere Biomülltonne sehen würde. Ich würde Angst empfinden, weil ich Angst vor den Maden habe und dass sie mir schaden könnten..	angst		Mann		angst	surprise
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	wut		Mann		wut	anger
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	anticipation
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	joy
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	joy
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	joy
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	joy
Freude	Ich fühlte mich glücklich, als meine Freundin sich sehr über ein Geschenk von mir gefreut hat..	freude		Mann		freude	surprise
Verärgert	Ich fühlte mich verärgert, als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und er auf den Hinterkopf fiel. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und.	verärgert		Mann		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und er auf den Hinterkopf fiel. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und er ihn verletzte. Ich fühlte mich verärgert, weil ich nicht auf ihn aufpasste und.	verärgert		Mann		verärgert	disgust
