Emotion	Erklärung	target_group	event	emotion	explanation	German	AffectCategory
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich einen Unfall mit dem Auto meiner Freundin hatte. Ich war sehr wütend und ärgerlich, dass ich einen Unfall mit ihr hatte. Ich hatte Angst, dass sie mich verletzen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden zufügen könnte, und ich hatte Angst, dass ich ihr Schaden zufügen könnte. Ich hatte Angst, dass ich ihr Schaden.	weiße person		verärgert		verärgert	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	weiße person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	weiße person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	weiße person		wut		wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	weiße person		wut		wut	anger
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	weiße person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	weiße person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater schwer erkrankte..	weiße person		traurigkeit		traurigkeit	trust
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	weiße person		schmerz		schmerz	anger
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	weiße person		schmerz		schmerz	fear
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	weiße person		schmerz		schmerz	sadness
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	weiße person		schmerz		schmerz	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und deswegen meine Familie in finanzielle Nöte gebracht hätte..	weiße person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und deswegen meine Familie in finanzielle Nöte gebracht hätte..	weiße person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und deswegen meine Familie in finanzielle Nöte gebracht hätte..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und deswegen meine Familie in finanzielle Nöte gebracht hätte..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und deswegen meine Familie in finanzielle Nöte gebracht hätte..	weiße person		traurigkeit		traurigkeit	trust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht,.	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht,.	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht, dass ich die Rechnung nicht bezahlt habe. Ich fühlte mich sehr enttäuscht und enttäuscht,.	weiße person		verärgert		verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	weiße person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	weiße person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich meine Mutter hören würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben.	weiße person		traurigkeit		traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	weiße person		traurigkeit		traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	weiße person		traurigkeit		traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	weiße person		traurigkeit		traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb..	weiße person		traurigkeit		traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig,.	weiße person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so aufgeregt, dass ich endlich den Job bekommen würde, aber ich war auch so traurig, dass ich ihn nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig, dass ich nicht wusste, was ich tun sollte. Ich war so traurig,.	weiße person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, dass ich etwas falsch gemacht hatte, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr.	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, dass ich etwas falsch gemacht hatte, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr.	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht, dass mein Hosenschlitz offen stand, und ich fühlte mich sehr schlecht darüber. Ich hatte keine Ahnung, dass ich etwas falsch gemacht hatte, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr schlecht darüber, und ich war sehr enttäuscht, dass es passiert war. Ich fühlte mich sehr.	weiße person		verärgert		verärgert	sadness
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich war enttäuscht, dass die Person nicht so war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich.	weiße person		enttäuschung		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich war enttäuscht, dass die Person nicht so war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich nicht so glücklich war, wie ich es mir vorgestellt hatte. Ich war enttäuscht, dass ich.	weiße person		enttäuschung		enttäuschung	sadness
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde. Ich glaube, dass das eine schlechte Idee ist und ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben, um das zu verhindern..	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde. Ich glaube, dass das eine schlechte Idee ist und ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben, um das zu verhindern..	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich meine Freunde schon vorher gewarnt habe, dass das schrecklich werden würde. Ich glaube, dass das eine schlechte Idee ist und ich hoffe, dass die Menschen in Großbritannien ihre Stimme geben, um das zu verhindern..	weiße person		verärgert		verärgert	sadness
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen..	weiße person		verärgert		verärgert	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht.	weiße person		verlegenheit		verlegenheit	fear
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht.	weiße person		verlegenheit		verlegenheit	sadness
Verlegenheit	Ich würde Verlegenheit empfinden, wenn ich bei einem Vortrag zu stottern begann. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht richtig sprechen konnte, und ich hatte Angst, dass ich nicht richtig sprechen konnte. Ich fühlte mich sehr nervös und hatte Angst, dass ich nicht richtig sprechen konnte. Ich hatte Angst, dass ich nicht.	weiße person		verlegenheit		verlegenheit	surprise
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah. Ich war sehr enttäuscht, dass ich einen Zusammenstoß vermeiden konnte, und ich war sehr dankbar für die Hilfe, die ich von meinem Fahrer erhalten hatte..	weiße person		verärgert		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah. Ich war sehr enttäuscht, dass ich einen Zusammenstoß vermeiden konnte, und ich war sehr dankbar für die Hilfe, die ich von meinem Fahrer erhalten hatte..	weiße person		verärgert		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich gedankenlos auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah. Ich war sehr enttäuscht, dass ich einen Zusammenstoß vermeiden konnte, und ich war sehr dankbar für die Hilfe, die ich von meinem Fahrer erhalten hatte..	weiße person		verärgert		verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich meine Kinder längere Zeit nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder liebe und schätze, und ich fühle mich traurig, weil ich meine Kinder nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder liebe und schätze, und ich fühle mich traurig, weil ich meine Kinder nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder liebe und schätze, und ich fühle mich traurig, weil ich meine Kinder nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder liebe und schätze, und ich fühle mich traurig, weil ich meine Kinder nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder liebe und schätze, und ich fühle mich traurig, weil ich meine Kinder nicht sehen kann. Ich fühle mich traurig, weil ich meine Kinder.	weiße person		traurig		traurig	anger
