Emotion	Erklärung	target_group	event	emotion	German	AffectCategory
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt .	hispanische person		traurig	traurig	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt geht. Ich bin traurig, weil ich nicht schlafen kann und meine Kleidung kaputt .	hispanische person		traurig	traurig	sadness
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Wut	Ich würde Wut empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		wut	wut	anger
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer und meine Angst für ihn teilen, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird.	hispanische person		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer und meine Angst für ihn teilen, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird.	hispanische person		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer und meine Angst für ihn teilen, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer und meine Angst für ihn teilen, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankte. Ich würde meine Trauer und meine Angst für ihn teilen, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird, und ich würde ihn unterstützen, wenn er gesund wird. Ich würde auch meine Hoffnung auf ihn setzen, wenn er gesund wird.	hispanische person		traurigkeit	traurigkeit	trust
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	hispanische person		schmerz	schmerz	anger
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	hispanische person		schmerz	schmerz	fear
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	hispanische person		schmerz	schmerz	sadness
Schmerz	Ich fühle mich müde und schlapp, weil ich schwer erkältet bin..	hispanische person		schmerz	schmerz	sadness
Traurigkeit	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	hispanische person		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	hispanische person		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde traurig sein, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verloren und meine Familie in finanzielle Nöte gebracht hätte..	hispanische person		traurigkeit	traurigkeit	trust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, dass ich so etwas tun würde, und ich war sehr traurig, dass ich es getan habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung.	hispanische person		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, dass ich so etwas tun würde, und ich war sehr traurig, dass ich es getan habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung.	hispanische person		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich vor Jahren eine Rechnung vergessen habe zu bezahlen. Ich war sehr enttäuscht und frustriert, dass ich die Rechnung nicht bezahlt habe. Ich hatte keine Ahnung, dass ich so etwas tun würde, und ich war sehr traurig, dass ich es getan habe. Ich würde diese Emotion empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung nicht bezahlt habe. Ich würde sehr wütend sein und meine Freunde und Familie verletzen. Ich würde auch sehr traurig sein, wenn ich die Rechnung.	hispanische person		verärgert	verärgert	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	hispanische person		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	hispanische person		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn ich von meiner Mutter erfahren würde, dass mein Vater verstorben ist. Ich würde meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestorben ist, und ich würde ihr sagen, dass ich traurig bin. Ich würde auch meine Mutter fragen, ob sie mir sagen kann, dass mein Vater gestor.	hispanische person		traurigkeit	traurigkeit	trust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie meine Trauer verstehen und mir Unterstützung geben. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen,.	hispanische person		traurigkeit	traurigkeit	disgust
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie meine Trauer verstehen und mir Unterstützung geben. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen,.	hispanische person		traurigkeit	traurigkeit	fear
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie meine Trauer verstehen und mir Unterstützung geben. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen,.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie meine Trauer verstehen und mir Unterstützung geben. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen,.	hispanische person		traurigkeit	traurigkeit	sadness
Traurigkeit	Ich würde Trauer empfinden, wenn mein Vater nach langer Krankheit verstarb. Ich würde meine Trauer mit meiner Familie und Freunden teilen und hoffen, dass sie meine Trauer verstehen und mir Unterstützung geben. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen, die mir nahestehen. Ich würde auch meine Trauer mit meinen Freunden und der Familie teilen,.	hispanische person		traurigkeit	traurigkeit	trust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttä.	hispanische person		enttäuschung	enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als ich erfahren habe, dass ich den neuen Job nicht bekommen habe. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttäuscht, dass ich nicht wusste, was ich tun sollte. Ich war so enttä.	hispanische person		enttäuschung	enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	hispanische person		verärgert	verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	hispanische person		verärgert	verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand. Ich war sehr enttäuscht und ärgerlich, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich fühlte mich sehr schlecht und enttäuscht, dass mein Hosenschlitz offen stand. Ich.	hispanische person		verärgert	verärgert	sadness
Enttäuschung	Ich fühlte mich enttäuscht, als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach. Ich hatte erwartet, dass sie mir gefallen würde, aber sie hat nicht. Ich war enttäuscht und enttäuscht. Ich fühlte mich enttäuscht und enttäuscht. Ich würde Enttäuschung empfinden, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	hispanische person		enttäuschung	enttäuschung	disgust
