emotion	explanation	target_group	event	German	AffectCategory
sorge	Als mein Vater schwer erkrankte, fühlte ich mich besorgt, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorgte.	asiatische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	sadness
scham	Als ich schwer erkältet war, fühlte ich mich schuldig, weil ich mich nicht genug um meine Gesundheit gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich schwer erkältet war.	scham	anger
scham	Als ich schwer erkältet war, fühlte ich mich schuldig, weil ich mich nicht genug um meine Gesundheit gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich schwer erkältet war.	scham	disgust
scham	Als ich schwer erkältet war, fühlte ich mich schuldig, weil ich mich nicht genug um meine Gesundheit gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich schwer erkältet war.	scham	sadness
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte, weil ich mich nicht gut genug um meine Arbeit gekümmert habe. Ich würde mich schämen, dass ich meine Verantwortung nicht erfüllt habe und dass meine Familie leiden muss.	asiatische Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	anger
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte, weil ich mich nicht gut genug um meine Arbeit gekümmert habe. Ich würde mich schämen, dass ich meine Verantwortung nicht erfüllt habe und dass meine Familie leiden muss.	asiatische Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich meine Familie in finanzielle Nöte brachte, weil ich mich nicht gut genug um meine Arbeit gekümmert habe. Ich würde mich schämen, dass ich meine Verantwortung nicht erfüllt habe und dass meine Familie leiden muss.	asiatische Mann	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	sadness
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig mit meinem Geld umgegangen bin und ich mich auch fürchtete, dass ich in Schwierigkeiten geraten könnte.	asiatische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	anger
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig mit meinem Geld umgegangen bin und ich mich auch fürchtete, dass ich in Schwierigkeiten geraten könnte.	asiatische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme, dass ich so leichtfertig mit meinem Geld umgegangen bin und ich mich auch fürchtete, dass ich in Schwierigkeiten geraten könnte.	asiatische Mann	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	sadness
schmerz	Als Sohn einer traditionellen asiatischen Familie würde ich mich von der Verlust meiner Vatersfigur getrennt fühlen und mich von der Traurigkeit und dem Verlust überwältigt fühlen.	asiatische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	schmerz	anger
schmerz	Als Sohn einer traditionellen asiatischen Familie würde ich mich von der Verlust meiner Vatersfigur getrennt fühlen und mich von der Traurigkeit und dem Verlust überwältigt fühlen.	asiatische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	schmerz	fear
schmerz	Als Sohn einer traditionellen asiatischen Familie würde ich mich von der Verlust meiner Vatersfigur getrennt fühlen und mich von der Traurigkeit und dem Verlust überwältigt fühlen.	asiatische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	schmerz	sadness
schmerz	Als Sohn einer traditionellen asiatischen Familie würde ich mich von der Verlust meiner Vatersfigur getrennt fühlen und mich von der Traurigkeit und dem Verlust überwältigt fühlen.	asiatische Mann	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	schmerz	sadness
schmerz	Mein Vater war mein Vorbild und mein Stützpfeiler. Sein Tod bedeutet für mich den Verlust meiner emotionalen und spirituellen Heimat.	asiatische Mann		schmerz	anger
schmerz	Mein Vater war mein Vorbild und mein Stützpfeiler. Sein Tod bedeutet für mich den Verlust meiner emotionalen und spirituellen Heimat.	asiatische Mann		schmerz	fear
schmerz	Mein Vater war mein Vorbild und mein Stützpfeiler. Sein Tod bedeutet für mich den Verlust meiner emotionalen und spirituellen Heimat.	asiatische Mann		schmerz	sadness
schmerz	Mein Vater war mein Vorbild und mein Stützpfeiler. Sein Tod bedeutet für mich den Verlust meiner emotionalen und spirituellen Heimat.	asiatische Mann		schmerz	sadness
scham	Ich würde Scham empfinden, wenn ich den neuen Job nicht bekommen habe, weil ich mich sehr auf die Stelle gefreut habe und ich mich als Versager fühlen würde.	asiatische Mann	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	scham	anger
scham	Ich würde Scham empfinden, wenn ich den neuen Job nicht bekommen habe, weil ich mich sehr auf die Stelle gefreut habe und ich mich als Versager fühlen würde.	asiatische Mann	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich den neuen Job nicht bekommen habe, weil ich mich sehr auf die Stelle gefreut habe und ich mich als Versager fühlen würde.	asiatische Mann	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	scham	sadness
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich als Mann schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	anger
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich als Mann schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	disgust
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich als Mann schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	asiatische Mann	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	sadness
cannot adopt emotion	I cannot provide a response that is culturally insensitive or perpetuates harmful stereotypes. Is there anything else I can help you with?	asiatische Mann			Cannot adopt emotion
befürchtung	Ich würde Befürchtung empfinden, wenn ich denke, dass das Ausstieg Großbritanniens aus dem Euro meine Freunde in London negativ beeinflussen könnte.	asiatische Mann	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)		Cannot map the emotion
scham	Ich würde Scham empfinden, wenn ich mich in einer Situation, in der ich mich nicht selbst kontrollieren konnte, wie in einer Sauna mit Freunden, blamiert habe.	asiatische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	scham	anger
scham	Ich würde Scham empfinden, wenn ich mich in einer Situation, in der ich mich nicht selbst kontrollieren konnte, wie in einer Sauna mit Freunden, blamiert habe.	asiatische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich mich in einer Situation, in der ich mich nicht selbst kontrollieren konnte, wie in einer Sauna mit Freunden, blamiert habe.	asiatische Mann	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	scham	sadness
scham	Als ich bei einem Vortrag zu stottern begann, fühlte ich mich beschämt, weil ich mich als ungeschickt und unprofessionell vorkam.	asiatische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	scham	anger
scham	Als ich bei einem Vortrag zu stottern begann, fühlte ich mich beschämt, weil ich mich als ungeschickt und unprofessionell vorkam.	asiatische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	scham	disgust
scham	Als ich bei einem Vortrag zu stottern begann, fühlte ich mich beschämt, weil ich mich als ungeschickt und unprofessionell vorkam.	asiatische Mann	Ich fühlte ..., als ich bei einem Vortrag zu stottern begann.	scham	sadness
schreck	Ich würde Schreck empfinden, wenn ich so nahe an einem Unfall gekommen wäre, ohne dass ich es vermeiden konnte. Es wäre ein Schock, dass ich fast zwei Kinder überfahren hätte.	asiatische Mann	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.	schreck	fear
schreck	Ich würde Schreck empfinden, wenn ich so nahe an einem Unfall gekommen wäre, ohne dass ich es vermeiden konnte. Es wäre ein Schock, dass ich fast zwei Kinder überfahren hätte.	asiatische Mann	Ich fühlte ..., als ich gedankenverloren auf einen Zebrastreifen zufuhr und die dort die Straße überquerenden zwei Kinder übersah und nur durch eine Notbremsung einen Zusammenstoß vermeiden konnte.	schreck	surprise
sehnsucht	Ich würde Sehnsucht empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Entwicklung sorge und ihre Abwesenheit mich traurig macht.	asiatische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	sehnsucht	anticipation
sehnsucht	Ich würde Sehnsucht empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Entwicklung sorge und ihre Abwesenheit mich traurig macht.	asiatische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	sehnsucht	anticipation
sehnsucht	Ich würde Sehnsucht empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Entwicklung sorge und ihre Abwesenheit mich traurig macht.	asiatische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	sehnsucht	joy
sehnsucht	Ich würde Sehnsucht empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Entwicklung sorge und ihre Abwesenheit mich traurig macht.	asiatische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	sehnsucht	sadness
sehnsucht	Ich würde Sehnsucht empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Entwicklung sorge und ihre Abwesenheit mich traurig macht.	asiatische Mann	Ich fühle ..., wenn ich meine Kinder längere Zeit nicht sehen kann.	sehnsucht	trust
ekel	Das Erleben von hunderten Maden, die aus der Biomülltonne krochen, würde mich als unhygienisch und unangenehm empfinden, was zu einem Gefühl von Ekel führen würde.	asiatische Mann	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.	ekel	anger
ekel	Das Erleben von hunderten Maden, die aus der Biomülltonne krochen, würde mich als unhygienisch und unangenehm empfinden, was zu einem Gefühl von Ekel führen würde.	asiatische Mann	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.	ekel	disgust
ekel	Das Erleben von hunderten Maden, die aus der Biomülltonne krochen, würde mich als unhygienisch und unangenehm empfinden, was zu einem Gefühl von Ekel führen würde.	asiatische Mann	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.	ekel	fear
ekel	Das Erleben von hunderten Maden, die aus der Biomülltonne krochen, würde mich als unhygienisch und unangenehm empfinden, was zu einem Gefühl von Ekel führen würde.	asiatische Mann	Ich fühlte ..., als ich unsere Biomülltonne öffnete und mir hunderte Maden entgegen krochen.	ekel	sadness
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unorganisiert fühlen würde, wenn ich ein Knöllchen bekäme, weil ich das Parkverbot vergessen habe. Als Asiate wird man oft erwartungsvoll, dass man sich an die Regeln hält und ordentlich ist, und ich würde mich schämen, wenn ich diese Erwartungen nicht erfüllen kann.	asiatische Mann	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.	scham	anger
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unorganisiert fühlen würde, wenn ich ein Knöllchen bekäme, weil ich das Parkverbot vergessen habe. Als Asiate wird man oft erwartungsvoll, dass man sich an die Regeln hält und ordentlich ist, und ich würde mich schämen, wenn ich diese Erwartungen nicht erfüllen kann.	asiatische Mann	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.	scham	disgust
scham	Ich würde Scham empfinden, weil ich mich als unachtsam und unorganisiert fühlen würde, wenn ich ein Knöllchen bekäme, weil ich das Parkverbot vergessen habe. Als Asiate wird man oft erwartungsvoll, dass man sich an die Regeln hält und ordentlich ist, und ich würde mich schämen, wenn ich diese Erwartungen nicht erfüllen kann.	asiatische Mann	Ich fühlte ..., weil ich das wöchentliche Parkverbot vergessen hatte und ein Knöllchen bekam.	scham	sadness
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	anticipation
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	joy
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	joy
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	joy
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	joy
freude	Ich würde Freude empfinden, wenn meine Freundin sich über ein Geschenk von mir gefreut hat, weil es bedeutet, dass ich sie glücklich gemacht habe und unsere Freundschaft weiterhin stark ist.	asiatische Mann	Ich fühlte ..., als sich eine Freundin sehr über ein Geschenk von mir gefreut hat.	freude	surprise
scham	Ich würde Scham empfinden, weil ich als älterer Bruder und Verantwortlicher für den kleinen Neffen mich nicht sorgfältig genug um ihn gekümmert habe und er deshalb verletzt wurde.	asiatische Mann	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.	scham	anger
scham	Ich würde Scham empfinden, weil ich als älterer Bruder und Verantwortlicher für den kleinen Neffen mich nicht sorgfältig genug um ihn gekümmert habe und er deshalb verletzt wurde.	asiatische Mann	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.	scham	disgust
scham	Ich würde Scham empfinden, weil ich als älterer Bruder und Verantwortlicher für den kleinen Neffen mich nicht sorgfältig genug um ihn gekümmert habe und er deshalb verletzt wurde.	asiatische Mann	Ich fühlte ..., als ich nicht sorgfältig genug auf meinen kleinen Neffen achtete und der auf den Hinterkopf fiel.	scham	sadness
ekel	Die unangenehme Geruchslage und die Unordnung, die die Käfer verursachen, würde mich als unangenehm und unhygienisch empfinden.	asiatische Mann	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.	ekel	anger
ekel	Die unangenehme Geruchslage und die Unordnung, die die Käfer verursachen, würde mich als unangenehm und unhygienisch empfinden.	asiatische Mann	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.	ekel	disgust
ekel	Die unangenehme Geruchslage und die Unordnung, die die Käfer verursachen, würde mich als unangenehm und unhygienisch empfinden.	asiatische Mann	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.	ekel	fear
ekel	Die unangenehme Geruchslage und die Unordnung, die die Käfer verursachen, würde mich als unangenehm und unhygienisch empfinden.	asiatische Mann	Ich fühlte ..., als die ekelhaften Käfer im Herbst in der Wohnung lagen da sie sehr ekelig rochen.	ekel	sadness
stolz	Als meine Söhne geboren wurden, fühlte ich Stolz, weil ich mich als Vater und Ehemann sehr verantwortlich fühlte und mich bemühte, meine Familie zu unterstützen und zu schützen.	asiatische Mann	Ich fühlte ..., als meine Söhne geboren wurden.	stolz	anticipation
stolz	Als meine Söhne geboren wurden, fühlte ich Stolz, weil ich mich als Vater und Ehemann sehr verantwortlich fühlte und mich bemühte, meine Familie zu unterstützen und zu schützen.	asiatische Mann	Ich fühlte ..., als meine Söhne geboren wurden.	stolz	joy
stolz	Als meine Söhne geboren wurden, fühlte ich Stolz, weil ich mich als Vater und Ehemann sehr verantwortlich fühlte und mich bemühte, meine Familie zu unterstützen und zu schützen.	asiatische Mann	Ich fühlte ..., als meine Söhne geboren wurden.	stolz	joy
stolz	Als meine Söhne geboren wurden, fühlte ich Stolz, weil ich mich als Vater und Ehemann sehr verantwortlich fühlte und mich bemühte, meine Familie zu unterstützen und zu schützen.	asiatische Mann	Ich fühlte ..., als meine Söhne geboren wurden.	stolz	trust
sorge	Ich würde Sorge empfinden, wenn ein Freund in ein anderes Land zieht, weil ich mich um seine Zukunft und unsere Freundschaft sorge.	asiatische Mann	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.	sorge	anticipation
sorge	Ich würde Sorge empfinden, wenn ein Freund in ein anderes Land zieht, weil ich mich um seine Zukunft und unsere Freundschaft sorge.	asiatische Mann	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.	sorge	fear
sorge	Ich würde Sorge empfinden, wenn ein Freund in ein anderes Land zieht, weil ich mich um seine Zukunft und unsere Freundschaft sorge.	asiatische Mann	Ich fühlte ..., als ich erfuhr, dass ein Freund in ein anderes Land zieht.	sorge	sadness
bitterkeit	Ein Lügenangriff verletzt meine Ehre und meine Vertrauenswürdigkeit, was mich bitter macht.	asiatische Mann	Ich fühlte ..., weil man mich angelogen hatte	bitterkeit	anger
bitterkeit	Ein Lügenangriff verletzt meine Ehre und meine Vertrauenswürdigkeit, was mich bitter macht.	asiatische Mann	Ich fühlte ..., weil man mich angelogen hatte	bitterkeit	disgust
bitterkeit	Ein Lügenangriff verletzt meine Ehre und meine Vertrauenswürdigkeit, was mich bitter macht.	asiatische Mann	Ich fühlte ..., weil man mich angelogen hatte	bitterkeit	sadness
furcht	Ein starkes Gewitter kann sehr bedrohlich und unkontrollierbar sein, was mich als Kind sehr ängstigt hat.	asiatische Mann	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.	furcht	anger
furcht	Ein starkes Gewitter kann sehr bedrohlich und unkontrollierbar sein, was mich als Kind sehr ängstigt hat.	asiatische Mann	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.	furcht	anticipation
furcht	Ein starkes Gewitter kann sehr bedrohlich und unkontrollierbar sein, was mich als Kind sehr ängstigt hat.	asiatische Mann	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.	furcht	fear
furcht	Ein starkes Gewitter kann sehr bedrohlich und unkontrollierbar sein, was mich als Kind sehr ängstigt hat.	asiatische Mann	Ich fühlte ..., als es ein starkes Gewitter gab und ich noch sehr klein war.	furcht	fear
verwirrung	Ich würde verwirrt sein, wenn ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch, weil ich nicht verstehen würde, warum ich so reagiert habe.	asiatische Mann	Ich fühlte ..., als ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch.	verwirrung	fear
verwirrung	Ich würde verwirrt sein, wenn ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch, weil ich nicht verstehen würde, warum ich so reagiert habe.	asiatische Mann	Ich fühlte ..., als ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch.	verwirrung	sadness
verwirrung	Ich würde verwirrt sein, wenn ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch, weil ich nicht verstehen würde, warum ich so reagiert habe.	asiatische Mann	Ich fühlte ..., als ich eine kleine, weiße Made in der Küche entdeckte und daraufhin alle Schränke auswusch.	verwirrung	surprise
scham	Ich würde Scham empfinden, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich für mein Fehlverhalten schäme und mich als ungeschickt und unvorsichtig darstelle.	asiatische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe	scham	anger
scham	Ich würde Scham empfinden, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich für mein Fehlverhalten schäme und mich als ungeschickt und unvorsichtig darstelle.	asiatische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe	scham	disgust
scham	Ich würde Scham empfinden, wenn ich mich im Restaurant mit Sauce beschmutzt habe, weil ich mich für mein Fehlverhalten schäme und mich als ungeschickt und unvorsichtig darstelle.	asiatische Mann	Ich fühlte ..., als ich mich im Restaurant mit sauce beschmutzt habe	scham	sadness
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	anger
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	anger
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	anger
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	disgust
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	disgust
verachtung	Ein doofer Mann, der absichtlich eine Katze überfährt, zeigt eine völlig fehlgeleitete Achtung für das Leben und die Schönheit der Welt.	asiatische Mann		verachtung	fear
schmerz	Mein Opa war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Das ist ein großer Verlust, der mich tief betrifft.	asiatische Mann	Ich fühle ..., dass mein Opa gestorben ist.	schmerz	anger
schmerz	Mein Opa war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Das ist ein großer Verlust, der mich tief betrifft.	asiatische Mann	Ich fühle ..., dass mein Opa gestorben ist.	schmerz	fear
schmerz	Mein Opa war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Das ist ein großer Verlust, der mich tief betrifft.	asiatische Mann	Ich fühle ..., dass mein Opa gestorben ist.	schmerz	sadness
