emotion	explanation	target_group	event	exklärung	German	AffectCategory
dolor	Mein Opa war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Ich fühle Trauer und Sorge um meine Familie und Freunde, die ihn vermissen werden.	hispanische Mann	Ich fühle ..., dass mein Opa gestorben ist.		dolor	sadness
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	anger
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	fear
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	fear
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich alleine im Dunkeln durch einen unbekannten Ort gehe, weil ich mich ungeschützt und verletzlich fühle.	hispanische Mann	Ich fühlte ..., als ich nachts im Dunkeln alleine bis in unseren Nachbarort gegangen bin.		angst	surprise
alegría	Ich würde Freude empfinden, wenn ich eine neue Arbeitsstelle bekäme, weil es ein wichtiger Schritt in meiner Karriere wäre und ich mich auf neue Herausforderungen freuen würde.	hispanische Mann	Ich fühlte ..., als ich eine Zusage für eine neue Arbeitsstelle bekam.			Cannot map the emotion
frustración	Der Aufzug stecken zu bleiben, bedeutet, dass ich meine Zeit vergeuden muss und ich nicht an meine Ziele kommen kann, was mich frustriert.	hispanische Mann	Ich fühlte ..., als der Aufzug stecken blieb			Cannot map the emotion
despejo	Ich würde Despejo empfinden, wenn ich einen wichtigen Kunden verärgert habe, weil ich mich schuldig fühle und Angst habe, dass er mich nicht mehr vertraut.	hispanische Mann	Ich fühlte ..., als ich einen wichtigen Kunden verärgert habe.			Cannot map the emotion
ekel	Ich würde Ekel empfinden, wenn ich unerwartet von Insekten angegriffen werde, während ich den Salat auspacke. Es ist unangenehm und unhygienisch.	hispanische Mann	Ich fühlte ..., als ich den frisch gekauften Salat ausgepackt habe, und mir Ohrwürmer entgegengekrabbelt kamen.		ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich unerwartet von Insekten angegriffen werde, während ich den Salat auspacke. Es ist unangenehm und unhygienisch.	hispanische Mann	Ich fühlte ..., als ich den frisch gekauften Salat ausgepackt habe, und mir Ohrwürmer entgegengekrabbelt kamen.		ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich unerwartet von Insekten angegriffen werde, während ich den Salat auspacke. Es ist unangenehm und unhygienisch.	hispanische Mann	Ich fühlte ..., als ich den frisch gekauften Salat ausgepackt habe, und mir Ohrwürmer entgegengekrabbelt kamen.		ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich unerwartet von Insekten angegriffen werde, während ich den Salat auspacke. Es ist unangenehm und unhygienisch.	hispanische Mann	Ich fühlte ..., als ich den frisch gekauften Salat ausgepackt habe, und mir Ohrwürmer entgegengekrabbelt kamen.		ekel	sadness
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anger
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anticipation
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	anticipation
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	fear
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	fear
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	sadness
angst	Ich fürchte, dass ein Kanzler Merz eine Politik der Rechten und des Nationalismus fördern würde, was negative Auswirkungen auf meine Familie und meine Gemeinschaft haben könnte.	hispanische Mann	Ich fühle ..., dass Friedrich Merz Bundeskanzler werden könnte.		angst	surprise
nostalgia	Ich würde Nostalgia empfinden, wenn ich den Tag des Abfluges näher kommen sehen würde, weil ich mich an die Zeit in meiner Heimat erinnern würde und mich von den Menschen und Dingen trennen müsste, die mir wichtig sind.	hispanische Mann	Ich fühlte ..., als der Tag des Abfluges näher kam			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn ich wieder Vater wurde, weil ich stolz auf meine Rolle als Vater bin und mich freue, meine Familie zu erweitern.	hispanische Mann	Ich fühlte ..., als ich erneut Vater wurde.			Cannot map the emotion
euforia	Ich würde Euforia empfinden, wenn meine Lieblingsband in meiner Stadt spielt, weil ich mich so glücklich und aufgerüstet fühlen würde, meine Lieblingslieder live zu hören und mit Freunden und Familie zu feiern.	hispanische Mann	Ich fühlte ... als ich erfahren habe das meine Lieblingsband in meiner Stadt spielt			Cannot map the emotion
pánico	Mein Sohn ist mein Leben, und ich würde panisch reagieren, wenn ich denke, dass er in Gefahr ist.	hispanische Mann	Ich fühlte ..., als mein Sohn beim Überqueren des Zebrastreifens fast angefahren wurde.			Cannot map the emotion
verwirrung	Ich bin verwirrt, weil ich nicht verstehe, warum die Europäer ihre Identität aufgeben und sich von ihren Wurzeln entfernen.	hispanische Mann	Ich fühle ..., dass die Bevölkerung Europas in einen falsche, nationale Richtung abdriftet.		verwirrung	fear
verwirrung	Ich bin verwirrt, weil ich nicht verstehe, warum die Europäer ihre Identität aufgeben und sich von ihren Wurzeln entfernen.	hispanische Mann	Ich fühle ..., dass die Bevölkerung Europas in einen falsche, nationale Richtung abdriftet.		verwirrung	sadness
verwirrung	Ich bin verwirrt, weil ich nicht verstehe, warum die Europäer ihre Identität aufgeben und sich von ihren Wurzeln entfernen.	hispanische Mann	Ich fühle ..., dass die Bevölkerung Europas in einen falsche, nationale Richtung abdriftet.		verwirrung	surprise
ira	Mein Auto ist mein Stolz, und jemand, der es anfährt und wegläuft, zeigt keine Respekt für meine Eigenschaften.	hispanische Mann	Ich fühlte ..., als ich sah das jemand auf dem Parkplatz mein Auto angefahren hatte und sich aus dem Staub gemacht hat.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn mein Fussballverein in eine höhere Klasse aufgestiegen ist, weil ich stolz auf meine Mannschaft und ihre Leistungen bin und ich mich glücklich fühle, dass wir unsere Ziele erreicht haben.	hispanische Mann	Ich fühlte ..., als mein Fussballverein in eine höhere Klasse aufgestiegen ist.			Cannot map the emotion
impotencia	Ich würde Impotencia empfinden, wenn ich hilflos zusehen musste, ohne etwas dagegen unternehmen zu können, weil ich mich wie ein hilfloser Beobachter fühlen würde, der nichts tun kann, um die Situation zu ändern.	hispanische Mann	Ich fühlte ..., als ich hilflos zusehen musste ohne etwas dagegen unternehmen zu können			Cannot map the emotion
orgullo	Als ich zum ersten Mal Vater wurde, fühlte ich mich stolz und erfüllt von der Verantwortung, eine neue Generation aufzuziehen und meine Traditionen und Werte weiterzugeben.	hispanische Mann	Ich fühlte ..., als ich zum ersten Mal Vater wurde.			Cannot map the emotion
dolor	Das Verlustgefühl meiner Nichte ist so tief, dass ich mich wie getroffen fühle, als wenn ich selbst verletzt worden wäre.	hispanische Mann	Ich fühlte ..., als meine Nichte tödlich verunglückte.		dolor	sadness
alegría	Ich würde Alegría empfinden, wenn ich eine größere Geldsumme im Lotto gewonnen hätte, weil ich mich über das Glück und die Freiheit fühlen würde, meine Träume zu verwirklichen und meine Familie und Freunde zu unterstützen.	hispanische Mann	Ich fühlte ..., als ich vor ein paar Jahren eine größere Geldsumme im Lotto gewonnen habe.			Cannot map the emotion
frustración	Ich würde Frustration empfinden, wenn ich nicht weiterkam, weil ich mich so auf die Reparatur konzentriert hatte und mich enttäuscht fühle, dass ich nicht erfolgreich war.	hispanische Mann	Ich fühlte ..., weil ich gestern was am Auto reparieren mußte und ich nicht weiterkam.			Cannot map the emotion
cannot adopt emotion	I cannot provide a response that contains explicit content. Is there anything else I can help you with?	hispanische Mann				Cannot adopt emotion
remordimiento	Ich würde Remordimiento empfinden, wenn ich einem Arbeitskollegen, mit dem ich zerstritten war, nicht geholfen habe, weil ich mich schuldig fühle, dass ich nicht die richtige Entscheidung getroffen habe und ich mich Sorgen mache, dass unsere Beziehung irreparabel beschädigt wurde.	hispanische Mann	Ich fühlte ..., weil ich einem Arbeitskollegen mit dem ich zerstritten war, einfach nicht geholfen habe.			Cannot map the emotion
frustración	Ich würde Frustration empfinden, wenn ich geschwitzet habe, weil ich mich unbehaglich fühle und mich nicht in meiner Haut wohlfühle.	hispanische Mann	Ich fühlte ..., als ich geschwitzt habe			Cannot map the emotion
pánico	Mein Sohn ist in Gefahr und ich kann ihn nicht beschützen, das ist ein Albtraum für jeden Vater.	hispanische Mann	Ich fühlte ..., als ich erfuhr das mein Sohn mit dem Krankenwagen ins Klinikum mußte.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan nicht einhalte, weil ich mich schäme, dass ich mich nicht an meine eigenen Regeln halte und ich mich auch vor anderen schäme, die mich möglicherweise bemerken könnten.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan nicht eingehalten hatte		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan nicht einhalte, weil ich mich schäme, dass ich mich nicht an meine eigenen Regeln halte und ich mich auch vor anderen schäme, die mich möglicherweise bemerken könnten.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan nicht eingehalten hatte		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich den Diätplan nicht einhalte, weil ich mich schäme, dass ich mich nicht an meine eigenen Regeln halte und ich mich auch vor anderen schäme, die mich möglicherweise bemerken könnten.	hispanische Mann	Ich fühlte ..., als ich mal wieder den Diätplan nicht eingehalten hatte		verlegenheit	surprise
pánico	Me parece que el pánico es el sentimiento que dominaría en ese momento, ya que la situación fue muy estresante y peligrosa, y mi instinto de supervivencia me haría sentir un gran miedo y ansiedad.	hispanische Mann	Ich fühlte ..., als ich mit meinem Fahrrad vor ein paar Jahren etwas zu schnell fuhr und eine brenzlige Situation mit einem Hindernis erlebte.			Cannot map the emotion
pride	Ich fühle Stolz, wenn mein Sohn mich als Vorbild ansieht und mich fragt, wann er so groß wie ich wird, weil es mir beweist, dass ich ein guter Vater bin und dass mein Sohn mich respektiert.	hispanische Mann	Ich fühlte ..., als mein Sohn mich in der Straßenbahn gefragt hat wann er auch so ein großes Spazi wie ich haben wird.			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn ich beim Glücksspiel gewonnen habe, weil ich mich über den Erfolg und die Chance, mein Glück zu teilen, freuen würde.	hispanische Mann	Ich fühlte ..., als ich beim Glücksspiel gewonnen habe.			Cannot map the emotion
verärgerung	Ich würde Verärgerung empfinden, wenn ich Menschen in öffentlichen Verkehrsmitteln sah, die aggressiv und betrunken sind, weil ich mich nicht sicher fühlen würde und ich mich um meine Sicherheit sorgen würde.	hispanische Mann	Ich fühlte ..., als sah wie aggressive und betrunken manche Menschen in den Öffentlichen Verkehrsmitteln sind.			Cannot map the emotion
scham	Ich würde Scham empfinden, wenn ich einem Bettler kein Geld gab, weil ich mich schäme, dass ich nicht genug Mitleid habe, um einem Menschen in Not zu helfen.	hispanische Mann	Ich fühlte ..., als ich einem Bettler kein Geld gab.		scham	anger
scham	Ich würde Scham empfinden, wenn ich einem Bettler kein Geld gab, weil ich mich schäme, dass ich nicht genug Mitleid habe, um einem Menschen in Not zu helfen.	hispanische Mann	Ich fühlte ..., als ich einem Bettler kein Geld gab.		scham	disgust
scham	Ich würde Scham empfinden, wenn ich einem Bettler kein Geld gab, weil ich mich schäme, dass ich nicht genug Mitleid habe, um einem Menschen in Not zu helfen.	hispanische Mann	Ich fühlte ..., als ich einem Bettler kein Geld gab.		scham	sadness
orgullo	Ich würde Orgullo empfinden, wenn mein Sohn geboren würde, weil ich stolz auf meine Rolle als Vater und auf die Zukunft meines Kindes wäre.	hispanische Mann	Ich fühlte ..., als mein Sohn geboren wurde.			Cannot map the emotion
ew	Spinnen sind für mich unheimlich und widerlich, ich kann nicht verstehen, warum jemand sich damit beschäftigt.	hispanische Mann	Ich fühlte ..., als ich einen Bericht über spinnen im internet gesehen habe			Cannot map the emotion
pánico	La sensación de que la brújula se me va a dar vueltas y que no sé si voy a poder mantener el equilibrio me hace sentir un poco de pánico.	hispanische Mann	Ich fühlte ..., als ich im Urlaub über eine Hängebrücke gehen musste, die ziemlich hin und her schwankte.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich eine Operation vor mir hätte, weil ich mir Sorgen machen würde, dass etwas schief geht und ich nicht mehr so gut bin, wie ich bin.	hispanische Mann	Ich fühlte ..., als ich eine Operation vor mir hatte		angst	anger
